Tabela de observabilidade - OPD 1.6m


Iluninação da lua: 30.2 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                           |  mag  |  rot  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
30505 (2000 RW82)                |  19.4 |   nan |       |       |       |       |       |       |       |       |       |       |       |  31.2 |  44.1 |
68444 (2001 RH142)               |  19.5 |   nan |       |       |       |       |       |       |       |       |       |  40.1 |  53.9 |  67.3 |  78.4 |
471143 Dziewanna (2010 EK139)    |  19.6 |   inf |  64.9 |  62.7 |  56.1 |  47.3 |  37.4 |       |       |       |       |       |       |       |       |
82055 (2000 TY40)                |  19.6 |  13.6 |       |       |       |       |       |       |       |       |       |       |       |  36.8 |  50.6 |
38628 Huya (2000 EB173)          |  19.6 |   inf |  48.2 |  61.2 |  72.0 |  74.6 |  66.1 |  53.7 |  40.2 |       |       |       |       |       |       |
57714 (2001 UY124)               |  19.6 |   nan |       |       |       |       |       |       |       |       |       |       |       |  33.2 |  44.5 |
229762 G!kun||'homdima (2007 UK1 |  19.7 |  11.1 |       |       |       |       |       |       |       |       |       |       |       |       |  41.9 |
51340 (2000 QJ12)                |  19.7 |   nan |       |       |       |       |       |       |       |       |       |       |  33.3 |  42.4 |  48.1 |
55267 (2001 RP132)               |  19.7 |   nan |       |       |       |       |       |       |       |       |       |       |  30.9 |  37.6 |  40.7 |
30708 Echepolos (4101 T-3)       |  19.7 |   inf |       |       |       |       |       |       |       |       |       |       |       |  36.6 |  40.6 |
47969 (2000 TG64)                |  19.8 |   nan |       |       |       |       |       |       |       |       |       |       |       |  35.3 |  45.9 |
523643 (2010 TY53)               |  19.8 |   nan |       |       |       |       |       |       |       |       |       |  30.8 |  43.9 |  55.8 |  64.8 |
24449 (2000 QL63)                |  19.8 |   nan |       |       |       |       |       |       |       |       |       |       |  30.5 |  44.4 |  58.0 |
52767 Ophelestes (1998 MW41)     |  19.8 |   inf |       |       |       |       |       |       |       |       |       |       |  38.5 |  48.9 |  56.0 |
105808 (2000 SZ135)              |  19.9 |   nan |       |       |       |       |       |       |       |       |       |       |       |  40.7 |  53.2 |
145452 Ritona (2005 RN43)        |  19.9 |   7.0 |       |       |       |       |       |  32.0 |  44.7 |  56.0 |  63.7 |  64.3 |  57.4 |  46.5 |  33.9 |
32532 Thereus (2001 PT13)        |  19.9 |   inf |  51.1 |  37.5 |       |       |       |       |       |       |       |       |       |       |       |
48249 (2001 SY345)               |  19.9 |   nan |       |       |       |       |       |       |       |       |       |       |  40.6 |  49.7 |  54.8 |
58931 Palmys (1998 MK47)         |  19.9 |   inf |       |       |       |       |       |       |       |       |       |       |  36.9 |  48.6 |  57.7 |
95626 (2002 GZ32)                |  19.9 |   5.8 |       |  36.0 |  49.6 |  63.3 |  77.1 |  88.5 |  75.1 |  61.4 |  47.7 |  34.1 |       |       |       |
44594 (1999 OX3)                 |  19.9 |   9.3 |       |       |       |       |       |       |       |       |       |       |       |  38.2 |  44.3 |
469442 (2002 GG166)              |  20.0 |   nan |  35.8 |  48.7 |  61.7 |  74.1 |  82.0 |  74.7 |  62.4 |  49.5 |  36.6 |       |       |       |       |
15094 Polymele (1999 WB2)        |  20.0 |   inf |  60.0 |  47.5 |  34.1 |       |       |       |       |       |       |       |       |       |       |
55637 Uni (2002 UX25)            |  20.0 |  14.4 |       |       |       |       |       |       |       |       |       |       |  38.6 |  49.0 |  56.1 |
99943 (2005 AS2)                 |  20.0 |   nan |       |       |       |       |       |       |       |       |       |       |  32.7 |  44.2 |  53.1 |
47171 Lempo (1999 TC36)          |  20.1 |   inf |       |       |       |       |       |       |       |       |       |       |  33.0 |  43.0 |  50.0 |
90568 Goibniu (2004 GV9)         |  20.2 |   5.9 |  80.2 |  85.6 |  72.0 |  58.3 |  44.6 |  31.1 |       |       |       |       |       |       |       |
174567 Varda (2003 MW12)         |  20.2 |   inf |  43.0 |  55.4 |  65.4 |  69.0 |  63.5 |  52.7 |  40.0 |       |       |       |       |       |       |
307261 Mani (2002 MS4)           |  20.3 |   inf |       |  40.5 |  53.7 |  65.3 |  72.1 |  68.7 |  58.2 |  45.4 |  31.8 |       |       |       |       |
120348 (2004 TY364)              |  20.4 |  11.7 |       |       |       |       |       |       |       |       |       |  30.5 |  44.0 |  56.9 |  67.7 |
661238 (2004 DA62)               |  20.4 |   nan |  60.5 |  54.6 |  46.3 |  37.0 |       |       |       |       |       |       |       |       |       |
120178 (2003 OP32)               |  20.4 |   9.7 |       |       |       |       |       |  37.4 |  49.6 |  59.7 |  64.7 |  61.8 |  52.8 |  41.1 |       |
160140 (2001 DZ3)                |  20.4 |   nan |  42.8 |       |       |       |       |       |       |       |       |       |       |       |       |
145453 (2005 RR43)               |  20.4 |   5.1 |       |       |       |       |       |       |       |       |       |       |       |       |  37.8 |
144897 (2004 UX10)               |  20.6 |   7.6 |       |       |       |       |       |       |       |       |       |       |  38.8 |  49.0 |  55.8 |
444030 (2004 NT33)               |  20.6 |   7.9 |       |       |       |       |       |  30.7 |  38.4 |  42.7 |  42.7 |  38.4 |  30.7 |       |       |
678191 (2017 OF69)               |  20.6 |   inf |       |       |  32.1 |  45.6 |  58.0 |  67.9 |  70.4 |  63.5 |  52.0 |  38.9 |       |       |       |
278361 (2007 JJ43)               |  20.7 |   6.0 |  55.7 |  69.3 |  82.7 |  82.6 |  69.2 |  55.5 |  42.0 |       |       |       |       |       |       |
119951 (2002 KX14)               |  20.7 |   nan |  49.6 |  63.3 |  77.1 |  88.6 |  75.2 |  61.4 |  47.7 |  34.1 |       |       |       |       |       |
501546 (2014 JJ80)               |  20.8 |   inf |       |       |       |       |       |  39.9 |  49.4 |  55.2 |  55.1 |  49.3 |  39.7 |       |       |
175113 (2004 PF115)              |  20.8 |   nan |       |       |       |       |       |  36.9 |  50.8 |  64.6 |  77.7 |  82.5 |  70.9 |  57.2 |  43.4 |
523736 (2014 QA442)              |  20.8 |   inf |       |       |       |       |       |       |       |       |  43.2 |  57.1 |  70.6 |  81.8 |  77.2 |
90377 Sedna (2003 VB12)          |  20.8 |   inf |       |       |       |       |       |       |       |       |       |       |  34.6 |  45.9 |  54.6 |
470599 (2008 OG19)               |  20.8 |   8.7 |       |       |       |  32.4 |  46.1 |  59.4 |  71.0 |  75.7 |  68.5 |  56.3 |  42.8 |       |       |
120347 Salacia (2004 SB60)       |  20.8 |   inf |       |       |       |       |       |       |       |  31.7 |  37.6 |  40.0 |  38.2 |  32.6 |       |
(2014 YA50)                      |  20.8 |   inf |  42.0 |  30.7 |       |       |       |       |       |       |       |       |       |       |       |
455502 (2003 UZ413)              |  21.0 |   4.1 |       |       |       |       |       |       |       |       |       |       |  31.9 |  43.3 |  52.5 |
523644 (2010 VX11)               |  21.0 |   nan |       |       |       |       |       |       |       |       |       |       |       |       |  32.3 |
470308 (2007 JH43)               |  21.0 |   nan |  61.1 |  74.2 |  84.5 |  76.6 |  63.6 |  50.3 |  37.1 |       |       |       |       |       |       |
40314 (1999 KR16)                |  21.1 |  11.7 |  56.5 |  66.8 |  70.5 |  64.5 |  53.4 |  40.5 |       |       |       |       |       |       |       |
523671 (2013 FZ27)               |  21.1 |   inf |  32.1 |       |       |       |       |       |       |       |       |       |       |       |       |
120132 (2003 FY128)              |  21.1 |   8.5 |  77.5 |  63.8 |  50.0 |  36.5 |       |       |       |       |       |       |       |       |       |
499514 (2010 OO127)              |  21.2 |   nan |       |       |       |       |       |  35.1 |  44.7 |  50.8 |  51.9 |  47.6 |  39.2 |       |       |
120216 (2004 EW95)               |  21.2 |   nan |  64.8 |  69.0 |  66.4 |  58.7 |  48.8 |  38.1 |       |       |       |       |       |       |       |
307982 (2004 PG115)              |  21.2 |   nan |       |       |       |       |       |  33.5 |  44.7 |  53.2 |  57.1 |  54.6 |  47.0 |  36.3 |       |
471172 (2010 JC80)               |  21.3 |   nan |  57.1 |  70.8 |  84.1 |  81.2 |  67.7 |  54.1 |  40.5 |       |       |       |       |       |       |
768325 (2015 BP519)              |  21.3 |   inf |       |       |       |       |       |       |       |       |       |       |  34.5 |  47.7 |  60.9 |
671467 (2014 LO28)               |  21.3 |   inf |       |       |       |       |  31.2 |  42.3 |  50.8 |  55.0 |  53.3 |  46.3 |  36.2 |       |       |
523639 (2010 RE64)               |  21.3 |   nan |       |       |       |       |       |       |  32.4 |  46.0 |  59.1 |  70.2 |  74.2 |  67.0 |  55.0 |
(2010 FX86)                      |  21.3 |  15.8 |  69.7 |  66.3 |  58.1 |  47.9 |  37.0 |       |       |       |       |       |       |       |       |
145480 (2005 TB190)              |  21.3 |  12.7 |       |       |       |       |       |       |  36.1 |  48.9 |  59.9 |  66.5 |  65.0 |  56.4 |  44.7 |
589683 (2010 RF43)               |  21.3 |   nan |       |       |       |       |       |  34.6 |  48.4 |  62.3 |  76.1 |  87.4 |  75.4 |  61.5 |  47.6 |
556004 (2014 HA200)              |  21.3 |   inf |  74.1 |  76.6 |  67.2 |  54.4 |  40.7 |       |       |       |       |       |       |       |       |
26375 (1999 DE9)                 |  21.3 |  24.0 |  59.8 |  46.0 |  32.1 |       |       |       |       |       |       |       |       |       |       |
523692 (2014 EZ51)               |  21.3 |   inf |  74.5 |  84.9 |  76.5 |  63.4 |  50.1 |  36.8 |       |       |       |       |       |       |       |
(2010 EL139)                     |  21.4 |   6.3 |  72.4 |  64.1 |  53.2 |  41.5 |       |       |       |       |       |       |       |       |       |
523752 (2014 VU37)               |  21.4 |   inf |       |       |       |       |       |       |       |       |       |       |       |       |  38.6 |
472271 (2014 UM33)               |  21.4 |   inf |       |       |       |       |       |       |       |       |       |       |  36.7 |  43.9 |  47.2 |
225088 Gonggong (2007 OR10)      |  21.4 |   inf |       |       |       |       |  38.5 |  52.2 |  65.3 |  75.7 |  75.3 |  64.7 |  51.6 |  37.8 |       |
728767 (2010 RF64)               |  21.4 |   nan |       |       |       |       |       |       |       |       |  40.8 |  54.7 |  68.3 |  80.3 |  79.0 |
303775 (2005 QU182)              |  21.4 |   9.6 |       |       |       |       |       |       |       |       |  42.0 |  54.2 |  63.9 |  67.3 |  62.1 |
35671 (1998 SN165)               |  21.5 |   8.8 |       |       |       |       |       |       |       |       |  30.3 |  41.5 |  50.3 |  54.9 |  53.7 |
495613 (2015 FG345)              |  21.5 |   inf |  70.0 |  62.9 |  51.3 |  38.2 |       |       |       |       |       |       |       |       |       |
(2009 JE19)                      |  21.5 |   nan |  62.6 |  60.7 |  52.5 |  41.2 |       |       |       |       |       |       |       |       |       |
55576 Amycus (2002 GB10)         |  21.5 |   inf |       |       |  38.7 |  52.6 |  66.4 |  80.2 |  84.7 |  71.2 |  57.3 |  43.5 |       |       |       |
523640 (2010 RO64)               |  21.6 |   nan |       |       |       |       |       |       |       |       |  35.3 |  47.3 |  57.2 |  62.3 |  60.2 |
523759 (2014 WK509)              |  21.6 |   inf |       |       |       |       |       |       |       |       |       |       |       |       |  32.9 |
307616 (2003 QW90)               |  21.6 |   nan |       |       |       |       |       |       |       |       |  37.2 |  47.0 |  53.4 |  54.4 |  49.6 |
559182 (2015 BZ518)              |  21.6 |   inf |  81.0 |  85.1 |  71.3 |  57.4 |  43.7 |  30.2 |       |       |       |       |       |       |       |
523794 (2015 RR245)              |  21.6 |   inf |       |       |       |       |       |       |       |  38.9 |  49.7 |  57.3 |  59.2 |  54.5 |  45.2 |
143707 (2003 UY117)              |  21.7 |   nan |       |       |       |       |       |       |       |       |       |       |       |  33.3 |  40.1 |
42301 (2001 UR163)               |  21.7 |   nan |       |       |       |       |       |       |       |       |       |  33.6 |  43.0 |  49.0 |  50.2 |
471149 (2010 FB49)               |  21.7 |   nan |  66.4 |  58.0 |  46.3 |  33.2 |       |       |       |       |       |       |       |       |       |
470309 (2007 JK43)               |  21.7 |   nan |       |  33.4 |  42.8 |  49.0 |  50.4 |  46.6 |  38.6 |       |       |       |       |       |       |
386723 (2009 YE7)                |  21.8 |  11.3 |       |       |       |       |       |       |       |       |       |       |       |  42.3 |  55.2 |
469750 (2005 PU21)               |  21.8 |   nan |       |       |       |       |       |       |       |  32.5 |  44.3 |  53.9 |  59.2 |  57.9 |  50.7 |
834655 (2010 RD188)              |  21.8 |   nan |       |       |       |       |       |       |       |  30.9 |  44.6 |  58.0 |  69.8 |  75.6 |  69.4 |
469372 (2001 QF298)              |  21.9 |   nan |       |       |       |       |       |       |       |  39.3 |  52.5 |  64.3 |  71.7 |  69.1 |  59.0 |
574372 (2010 JO179)              |  21.9 |   nan |  47.1 |  55.6 |  59.1 |  55.9 |  47.5 |  36.3 |       |       |       |       |       |       |       |
145474 (2005 SA278)              |  21.9 |   nan |       |       |       |       |       |       |       |       |       |       |  34.5 |  46.4 |  56.2 |
(2010 TJ)                        |  21.9 |   nan |       |       |       |       |       |       |       |       |       |  32.3 |  45.9 |  58.9 |  70.0 |
501581 (2014 OB394)              |  21.9 |   inf |       |       |       |       |       |       |       |  32.1 |  43.0 |  51.3 |  55.0 |  52.8 |  45.5 |
469506 (2003 FF128)              |  21.9 |   nan |  56.7 |  70.5 |  84.4 |  81.8 |  67.9 |  54.1 |  40.4 |       |       |       |       |       |       |
523713 (2014 JX80)               |  21.9 |   inf |  38.4 |  50.0 |  58.9 |  62.3 |  58.4 |  49.2 |  37.5 |       |       |       |       |       |       |
523705 (2014 HE200)              |  22.0 |   inf |  78.1 |  85.1 |  72.6 |  58.7 |  44.9 |  31.1 |       |       |       |       |       |       |       |
---------------------------------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+


--------------------------------------------------------------------------------------------------------------------------------------------------------


Unidades: 
Nome | RA (hh mm ss.ss), DEC (dd mm ss.s) | EL (dd.d) AZ (dd.d) | magnitude aparente | moon_dis (dd.d)


Local Time: 2026-08-07 18:00 -- UTC: 2026-08-07 21:00
559182 (2015 BZ518)                	| RA, DEC 15 40 42.07 -22 44 46.1	| EL, AZ: 81.0  93.8 	| Mag: 21.6 	| moon_dis: 169.8
90568 Goibniu (2004 GV9)           	| RA, DEC 15 43 52.68 -23 55 21.8	| EL, AZ: 80.2  100.7	| Mag: 20.2 	| moon_dis: 170.9
523705 (2014 HE200)                	| RA, DEC 15 49 29.67 -18 26 59.5	| EL, AZ: 78.1  72.5 	| Mag: 22.0 	| moon_dis: 168.8
120132 (2003 FY128)                	| RA, DEC 14 07 45.12 -23 29 06.4	| EL, AZ: 77.5  262.4	| Mag: 21.1 	| moon_dis: 149.5
523692 (2014 EZ51)                 	| RA, DEC 16 06 25.35 -27 26 58.6	| EL, AZ: 74.5  112.1	| Mag: 21.3 	| moon_dis: 176.5
556004 (2014 HA200)                	| RA, DEC 15 42 46.33 -09 54 33.5	| EL, AZ: 74.1  39.7 	| Mag: 21.3 	| moon_dis: 160.7
(2010 EL139)                       	| RA, DEC 14 25 52.29 -38 18 31.0	| EL, AZ: 72.4  203.7	| Mag: 21.4 	| moon_dis: 153.1
495613 (2015 FG345)                	| RA, DEC 14 44 12.18 -02 54 40.4	| EL, AZ: 70.0  347.0	| Mag: 21.5 	| moon_dis: 146.5
319 Leona (A891 TA)                	| RA, DEC 14 13 15.60 -05 58 05.0	| EL, AZ: 69.8  322.7	| Mag: 17.2 	| moon_dis: 142.9
(2010 FX86)                        	| RA, DEC 15 03 11.32 -42 43 56.1	| EL, AZ: 69.7  179.1	| Mag: 21.3 	| moon_dis: 157.4
471149 (2010 FB49)                 	| RA, DEC 14 26 58.10 -00 21 45.8	| EL, AZ: 66.4  337.8	| Mag: 21.7 	| moon_dis: 141.7
471143 Dziewanna (2010 EK139)      	| RA, DEC 15 07 50.36 -47 31 20.8	| EL, AZ: 64.9  177.4	| Mag: 19.6 	| moon_dis: 154.7
120216 (2004 EW95)                 	| RA, DEC 16 09 16.44 -43 22 02.2	| EL, AZ: 64.8  150.1	| Mag: 21.2 	| moon_dis: 163.2
1437 Diomedes (1937 PB)            	| RA, DEC 13 09 21.63 -28 31 50.0	| EL, AZ: 64.0  250.5	| Mag: 16.2 	| moon_dis: 137.6
(2009 JE19)                        	| RA, DEC 15 16 36.21 +04 43 33.7	| EL, AZ: 62.6  8.0  	| Mag: 21.5 	| moon_dis: 144.7
470308 (2007 JH43)                 	| RA, DEC 17 07 37.20 -27 50 16.4	| EL, AZ: 61.1  107.2	| Mag: 21.0 	| moon_dis: 169.8
3548 Eurybates (1973 SO)           	| RA, DEC 13 19 27.05 -06 30 15.4	| EL, AZ: 60.7  298.8	| Mag: 18.0 	| moon_dis: 132.1
661238 (2004 DA62)                 	| RA, DEC 14 07 18.41 -49 52 50.5	| EL, AZ: 60.5  197.8	| Mag: 20.4 	| moon_dis: 145.4
15094 Polymele (1999 WB2)          	| RA, DEC 13 23 18.43 -04 10 37.6	| EL, AZ: 60.0  303.8	| Mag: 20.0 	| moon_dis: 131.7
26375 (1999 DE9)                   	| RA, DEC 13 00 13.81 -13 18 46.8	| EL, AZ: 59.8  282.2	| Mag: 21.3 	| moon_dis: 131.1
1583 Antilochus (1950 SA)          	| RA, DEC 12 59 59.10 -13 17 25.0	| EL, AZ: 59.7  282.2	| Mag: 16.6 	| moon_dis: 131.0
471172 (2010 JC80)                 	| RA, DEC 17 25 14.41 -24 55 34.1	| EL, AZ: 57.1  101.5	| Mag: 21.3 	| moon_dis: 165.7
469506 (2003 FF128)                	| RA, DEC 17 26 23.03 -22 56 36.2	| EL, AZ: 56.7  97.9 	| Mag: 21.9 	| moon_dis: 164.9
40314 (1999 KR16)                  	| RA, DEC 16 54 20.95 -03 03 36.3	| EL, AZ: 56.5  58.6 	| Mag: 21.1 	| moon_dis: 155.0
588 Achilles (A906 DN)             	| RA, DEC 12 42 49.47 -14 17 25.3	| EL, AZ: 56.1  277.7	| Mag: 16.3 	| moon_dis: 127.6
278361 (2007 JJ43)                 	| RA, DEC 17 31 45.75 -24 58 14.2	| EL, AZ: 55.7  101.7	| Mag: 20.7 	| moon_dis: 164.2
4501 Eurypylos (1989 CJ3)          	| RA, DEC 12 44 26.89 -10 14 03.4	| EL, AZ: 55.0  284.6	| Mag: 18.6 	| moon_dis: 126.3
11351 Leucus (1997 TS25)           	| RA, DEC 12 35 42.92 -12 38 36.5	| EL, AZ: 54.0  279.4	| Mag: 19.1 	| moon_dis: 125.3
136108 Haumea (2003 EL61)          	| RA, DEC 14 37 26.74 +14 16 38.0	| EL, AZ: 52.8  350.1	| Mag: 17.3 	| moon_dis: 131.7
3793 Leonteus (1985 TE3)           	| RA, DEC 12 46 10.29 -04 30 05.3	| EL, AZ: 52.6  293.5	| Mag: 16.8 	| moon_dis: 124.0
3063 Makhaon (1983 PV)             	| RA, DEC 12 24 03.57 -14 40 39.5	| EL, AZ: 52.0  274.6	| Mag: 16.4 	| moon_dis: 123.5
32532 Thereus (2001 PT13)          	| RA, DEC 12 32 21.73 -07 24 16.4	| EL, AZ: 51.1  286.7	| Mag: 19.9 	| moon_dis: 122.3
119951 (2002 KX14)                 	| RA, DEC 17 58 00.26 -23 33 11.3	| EL, AZ: 49.6  100.4	| Mag: 20.7 	| moon_dis: 158.1
38628 Huya (2000 EB173)            	| RA, DEC 17 44 29.02 -07 42 17.9	| EL, AZ: 48.2  75.8 	| Mag: 19.6 	| moon_dis: 152.7
4063 Euforbo (1989 CG2)            	| RA, DEC 13 17 19.56 +10 46 32.9	| EL, AZ: 48.1  319.6	| Mag: 16.9 	| moon_dis: 121.5
574372 (2010 JO179)                	| RA, DEC 17 03 36.91 +08 26 16.4	| EL, AZ: 47.1  47.3 	| Mag: 21.9 	| moon_dis: 143.3
624 Hektor (A907 CF)               	| RA, DEC 12 05 09.80 -09 59 32.7	| EL, AZ: 46.0  278.9	| Mag: 15.3 	| moon_dis: 117.4
174567 Varda (2003 MW12)           	| RA, DEC 17 55 30.77 -01 38 48.7	| EL, AZ: 43.0  69.9 	| Mag: 20.2 	| moon_dis: 146.3
28978 Ixion (2001 KX76)            	| RA, DEC 18 31 23.35 -32 32 30.7	| EL, AZ: 42.9  114.1	| Mag: 19.3 	| moon_dis: 151.4
160140 (2001 DZ3)                  	| RA, DEC 11 48 38.33 -11 35 38.2	| EL, AZ: 42.8  274.8	| Mag: 20.4 	| moon_dis: 114.4
(2014 YA50)                        	| RA, DEC 12 44 27.87 +11 50 06.7	| EL, AZ: 42.0  312.0	| Mag: 20.8 	| moon_dis: 114.6
911 Agamemnon (A919 FB)            	| RA, DEC 11 45 04.62 -09 22 23.9	| EL, AZ: 41.2  277.2	| Mag: 16.1 	| moon_dis: 112.7
136472 Makemake (2005 FY9)         	| RA, DEC 13 22 52.87 +20 25 51.5	| EL, AZ: 40.8  328.7	| Mag: 17.1 	| moon_dis: 115.9
21900 Orus (1999 VQ10)             	| RA, DEC 11 47 15.90 -06 21 03.4	| EL, AZ: 40.5  281.1	| Mag: 18.0 	| moon_dis: 111.8
523713 (2014 JX80)                 	| RA, DEC 18 00 23.26 +05 08 28.8	| EL, AZ: 38.4  63.1 	| Mag: 21.9 	| moon_dis: 140.2
