Tabela de observabilidade - Cinturão Principal - Zeiss


Iluninação da lua: 5.5 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                    |  mag  |  rot  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
29 Amphitrite (A854 EB)   |  10.5 |   5.4 |  40.4 |  53.2 |  66.2 |  79.1 |  86.8 |  74.3 |  61.3 |  48.5 |  35.8 |  23.4 |       |       |       |
192 Nausikaa (A879 DA)    |  10.8 |  13.6 |       |       |       |       |       |       |       |       |       |  32.2 |  43.5 |  52.9 |  58.3 |
409 Aspasia (A895 XC)     |  10.8 |   9.0 |       |       |       |  28.5 |  41.2 |  53.2 |  63.2 |  68.1 |  64.9 |  55.6 |  43.9 |  31.3 |       |
354 Eleonora (A893 BC)    |  10.9 |   4.3 |       |       |       |       |       |       |  30.4 |  43.2 |  55.4 |  65.7 |  70.6 |  66.5 |  56.6 |
21 Lutetia (A852 VA)      |  11.1 |   8.2 |  35.0 |  48.0 |  60.9 |  73.0 |  80.4 |  73.8 |  61.8 |  48.9 |  35.9 |  23.1 |       |       |       |
306 Unitas (A891 EA)      |  11.2 |   8.7 |       |       |       |       |       |  21.8 |  34.7 |  47.4 |  59.1 |  68.1 |  70.1 |  63.4 |  52.6 |
455 Bruchsalia (A900 KC)  |  11.2 |  11.8 |       |       |       |  30.7 |  42.6 |  54.8 |  67.0 |  78.9 |  84.0 |  73.7 |  61.5 |  49.3 |  37.3 |
51 Nemausa (A858 BA)      |  11.2 |   7.8 |       |  20.0 |  32.9 |  45.3 |  56.6 |  64.9 |  66.7 |  60.8 |  50.5 |  38.5 |  25.8 |       |       |
287 Nephthys (A889 QA)    |  11.3 |   7.6 |       |       |       |       |       |  32.2 |  45.0 |  57.1 |  67.3 |  71.6 |  66.5 |  56.1 |  43.8 |
15 Eunomia (A851 OA)      |  11.3 |   6.1 |  72.0 |  68.1 |  58.0 |  45.9 |  33.1 |  20.1 |       |       |       |       |       |       |       |
451 Patientia (A899 XA)   |  11.3 |   9.7 |       |       |  23.1 |  35.4 |  47.9 |  60.7 |  73.7 |  86.7 |  80.3 |  67.3 |  54.5 |  41.8 |  29.3 |
128 Nemesis (A872 WA)     |  11.4 |  38.9 |       |       |  24.1 |  36.6 |  49.3 |  62.2 |  75.2 |  87.2 |  78.0 |  65.1 |  52.1 |  39.3 |  26.8 |
7 Iris (A847 PA)          |  11.4 |   7.1 |  59.1 |  52.6 |  42.5 |  30.8 |       |       |       |       |       |       |       |       |       |
44 Nysa (A857 KA)         |  11.4 |   6.4 |  48.3 |  41.6 |  32.0 |  20.7 |       |       |       |       |       |       |       |       |       |
20 Massalia (A852 SA)     |  11.5 |   8.1 |  61.9 |  62.7 |  56.9 |  47.0 |  35.2 |  22.6 |       |       |       |       |       |       |       |
216 Kleopatra (A880 GB)   |  11.5 |   5.4 |       |       |  31.9 |  44.4 |  55.7 |  64.2 |  66.5 |  61.0 |  51.0 |  39.1 |  26.4 |       |       |
37 Fides (A855 TB)        |  11.5 |   7.3 |       |       |  28.2 |  40.8 |  53.6 |  66.6 |  79.5 |  86.0 |  73.6 |  60.7 |  47.7 |  35.0 |  22.6 |
164 Eva (A876 NA)         |  11.6 |  13.7 |       |       |       |       |       |       |       |  29.1 |  40.0 |  51.2 |  62.3 |  72.4 |  78.3 |
198 Ampella (A879 LA)     |  11.7 |  10.4 |       |       |       |       |       |       |       |       |  28.7 |  39.0 |  46.8 |  50.7 |  49.5 |
40 Harmonia (A856 FA)     |  11.7 |   8.9 |  34.2 |  25.1 |       |       |       |       |       |       |       |       |       |       |       |
849 Ara (A915 UB)         |  11.8 |   4.1 |       |       |       |  23.1 |  34.7 |  44.8 |  52.0 |  54.5 |  51.3 |  43.7 |  33.4 |  21.7 |       |
532 Herculina (A904 HE)   |  11.8 |   9.4 |       |       |       |       |       |       |       |       |       |       |  25.9 |  38.4 |  50.1 |
100 Hekate (A868 NA)      |  11.8 |  27.1 |       |       |       |       |       |       |  24.4 |  37.4 |  50.0 |  61.5 |  69.9 |  70.4 |  62.5 |
57 Mnemosyne (A859 SA)    |  11.9 |  25.3 |       |       |       |  28.3 |  40.3 |  51.0 |  58.7 |  61.0 |  56.6 |  47.7 |  36.4 |  24.1 |       |
13 Egeria (A850 VA)       |  12.0 |   7.0 |  60.5 |  69.6 |  71.3 |  64.1 |  52.9 |  40.4 |  27.5 |       |       |       |       |       |       |
39 Laetitia (A856 CA)     |  12.0 |   5.1 |  39.2 |  30.1 |       |       |       |       |       |       |       |       |       |       |       |
5 Astraea (A845 XA)       |  12.0 |  16.8 |       |       |       |       |       |       |       |  29.3 |  41.9 |  53.7 |  63.2 |  67.3 |  63.3 |
389 Industria (A894 EE)   |  12.1 |   8.5 |       |       |       |       |       |  20.2 |  33.0 |  45.4 |  56.6 |  64.8 |  66.5 |  60.5 |  50.2 |
70 Panopaea (A861 JA)     |  12.1 |  15.8 |  49.1 |  62.1 |  74.8 |  84.0 |  75.9 |  63.2 |  50.3 |  37.4 |  24.6 |       |       |       |       |
125 Liberatrix (A872 RA)  |  12.2 |   4.0 |       |       |       |       |  30.0 |  42.9 |  55.5 |  66.7 |  73.5 |  70.3 |  60.2 |  48.0 |  35.2 |
11 Parthenope (A850 JA)   |  12.2 |  13.7 |  51.7 |  46.7 |  38.1 |  27.3 |       |       |       |       |       |       |       |       |       |
92 Undina (A867 NA)       |  12.2 |  15.9 |  40.0 |  52.3 |  63.3 |  70.0 |  68.2 |  59.3 |  47.7 |  35.0 |  22.1 |       |       |       |       |
28 Bellona (A854 EA)      |  12.2 |  15.7 |  27.1 |  39.9 |  52.1 |  62.8 |  69.0 |  66.8 |  58.0 |  46.4 |  33.8 |  20.9 |       |       |       |
804 Hispania (A915 FK)    |  12.2 |  14.8 |  37.6 |  48.4 |  59.2 |  69.2 |  76.0 |  74.4 |  66.0 |  55.7 |  44.8 |  34.0 |  23.5 |       |       |
182 Elsa (A878 CC)        |  12.3 |  80.1 |       |       |       |  26.3 |  39.2 |  52.2 |  65.1 |  76.9 |  80.8 |  71.0 |  58.4 |  45.4 |  32.5 |
480 Hansa (A901 KB)       |  12.3 |  16.2 |       |       |       |  25.8 |  37.5 |  47.6 |  54.7 |  56.8 |  52.9 |  44.6 |  33.8 |  21.8 |       |
135 Hertha (A874 DA)      |  12.4 |   8.4 |  53.0 |  65.4 |  75.5 |  76.3 |  66.8 |  54.5 |  41.7 |  28.7 |       |       |       |       |       |
26 Proserpina (A853 JA)   |  12.4 |  13.1 |  61.3 |  66.5 |  64.0 |  55.4 |  44.1 |  31.6 |       |       |       |       |       |       |       |
199 Byblis (A879 NA)      |  12.4 |   5.2 |       |  30.9 |  43.7 |  56.7 |  69.6 |  82.0 |  81.9 |  69.5 |  56.6 |  43.6 |  30.9 |       |       |
258 Tyche (A886 JA)       |  12.4 |  10.0 |  20.3 |  33.1 |  45.2 |  55.7 |  62.9 |  63.5 |  57.3 |  47.1 |  35.2 |  22.6 |       |       |       |
345 Tercidina (A892 WB)   |  12.4 |  12.4 |       |       |       |       |  26.4 |  38.8 |  50.2 |  59.3 |  63.4 |  60.4 |  51.9 |  40.8 |  28.4 |
41 Daphne (A856 KA)       |  12.4 |   6.0 |  50.6 |  44.6 |  35.3 |  24.2 |       |       |       |       |       |       |       |       |       |
346 Hermentaria (A892 WC) |  12.4 |  28.5 |  38.8 |  51.6 |  63.6 |  72.8 |  73.4 |  64.7 |  52.8 |  40.1 |  27.1 |       |       |       |       |
139 Juewa (A874 TA)       |  12.4 |  21.0 |       |       |       |  24.5 |  36.2 |  48.3 |  60.6 |  72.9 |  83.9 |  79.9 |  68.0 |  55.7 |  43.5 |
60 Echo (A860 RB)         |  12.4 |  25.2 |       |       |       |  29.2 |  42.2 |  55.0 |  67.0 |  75.6 |  73.7 |  63.5 |  51.2 |  38.3 |  25.3 |
71 Niobe (A861 PA)        |  12.4 |  35.9 |       |       |       |       |       |       |       |       |       |  22.4 |  31.5 |  38.1 |  41.1 |
387 Aquitania (A894 EC)   |  12.4 |  24.1 |  44.1 |  47.2 |  45.7 |  39.8 |  30.9 |  20.1 |       |       |       |       |       |       |       |
397 Vienna (A894 YA)      |  12.4 |  15.5 |       |       |       |       |       |  24.3 |  35.8 |  45.7 |  52.5 |  54.5 |  50.8 |  42.9 |  32.4 |
23 Thalia (A852 XA)       |  12.5 |  12.3 |       |       |       |       |       |       |       |       |  31.4 |  44.3 |  56.7 |  67.6 |  73.3 |
264 Libussa (A886 YA)     |  12.5 |   9.2 |       |       |       |       |       |       |  28.9 |  41.7 |  54.6 |  67.6 |  80.1 |  83.5 |  71.6 |
236 Honoria (A884 HA)     |  12.5 |  12.3 |       |       |       |       |       |       |       |       |  28.0 |  39.4 |  48.9 |  54.9 |  55.6 |
24 Themis (A853 GA)       |  12.5 |   8.4 |  34.1 |  47.0 |  60.0 |  72.4 |  81.0 |  75.3 |  63.3 |  50.4 |  37.4 |  24.5 |       |       |       |
48 Doris (A857 SA)        |  12.5 |  11.9 |  27.0 |  40.0 |  52.6 |  64.1 |  72.0 |  71.0 |  61.9 |  50.1 |  37.4 |  24.4 |       |       |       |
511 Davida (A903 KB)      |  12.5 |   5.1 |  42.2 |  38.6 |  31.5 |  22.1 |       |       |       |       |       |       |       |       |       |
704 Interamnia (A910 TC)  |  12.5 |   8.7 |  65.0 |  77.9 |  86.2 |  74.8 |  61.8 |  48.9 |  36.1 |  23.6 |       |       |       |       |       |
119 Althaea (A872 GA)     |  12.6 |  11.5 |  25.8 |  38.8 |  51.6 |  63.5 |  72.6 |  73.0 |  64.4 |  52.5 |  39.8 |  26.8 |       |       |       |
407 Arachne (A895 TB)     |  12.6 |  22.6 |       |       |  24.4 |  37.1 |  50.0 |  63.0 |  75.7 |  84.2 |  75.2 |  62.4 |  49.4 |  36.5 |  23.8 |
785 Zwetana (A914 FD)     |  12.6 |   8.9 |       |  21.7 |  33.3 |  45.4 |  57.6 |  69.9 |  81.7 |  82.5 |  71.0 |  58.7 |  46.4 |  34.3 |  22.7 |
93 Minerva (A867 QA)      |  12.6 |   6.0 |  64.2 |  74.7 |  76.7 |  67.8 |  55.7 |  42.8 |  29.9 |       |       |       |       |       |       |
476 Hedwig (A901 QB)      |  12.6 |  27.3 |       |       |       |       |       |       |  22.8 |  35.2 |  46.6 |  55.8 |  60.7 |  59.1 |  51.8 |
101 Helena (A868 PA)      |  12.6 |  23.1 |       |       |       |       |       |       |       |       |       |       |  23.8 |  34.1 |  42.2 |
116 Sirona (A871 RA)      |  12.7 |  12.0 |  51.7 |  63.6 |  72.5 |  72.8 |  64.2 |  52.3 |  39.6 |  26.6 |       |       |       |       |       |
113 Amalthea (A871 EA)    |  12.7 |   9.9 |       |       |       |       |       |       |       |       |  28.7 |  41.1 |  52.4 |  61.1 |  64.3 |
31 Euphrosyne (A854 RA)   |  12.7 |   5.5 |  23.5 |  31.8 |  40.3 |  48.7 |  56.4 |  62.3 |  64.9 |  63.1 |  57.7 |  50.3 |  42.0 |  33.5 |  25.1 |
690 Wratislavia (A909 UE) |  12.8 |   8.6 |       |       |       |       |       |       |       |       |  29.3 |  39.1 |  46.3 |  49.4 |  47.5 |
488 Kreusa (A902 MC)      |  12.8 |  32.6 |       |       |  28.9 |  41.4 |  54.1 |  67.1 |  80.1 |  86.5 |  73.6 |  60.6 |  47.8 |  35.1 |  22.8 |
106 Dione (A868 TA)       |  12.8 |  16.2 |       |       |       |       |       |       |       |       |  24.5 |  37.1 |  48.8 |  58.6 |  64.1 |
769 Tatjana (A913 TD)     |  12.8 |  35.1 |       |       |       |       |  25.6 |  37.9 |  50.6 |  63.5 |  76.4 |  89.1 |  77.4 |  64.5 |  51.6 |
32 Pomona (A854 UA)       |  12.9 |   9.4 |  21.3 |       |       |       |       |       |       |       |       |       |       |       |       |
388 Charybdis (A894 ED)   |  12.9 |   9.5 |       |       |       |       |  23.3 |  36.0 |  48.9 |  61.9 |  74.7 |  84.5 |  76.5 |  63.8 |  50.8 |
456 Abnoba (A900 LA)      |  12.9 |  18.3 |       |       |       |       |       |  25.3 |  36.7 |  46.3 |  52.7 |  54.2 |  50.1 |  41.9 |  31.2 |
69 Hesperia (A861 HC)     |  12.9 |   5.7 |  55.8 |  62.3 |  62.3 |  55.7 |  45.5 |  33.6 |  20.9 |       |       |       |       |       |       |
174 Phaedra (A877 RA)     |  12.9 |   5.7 |  60.4 |  73.3 |  86.2 |  80.6 |  67.6 |  54.7 |  42.0 |  29.5 |       |       |       |       |       |
64 Angelina (A861 EA)     |  12.9 |   8.8 |       |       |       |       |       |       |       |       |       |       |       |       |  27.1 |
416 Vaticana (A896 JA)    |  12.9 |   5.4 |  48.4 |  44.7 |  37.1 |  27.1 |       |       |       |       |       |       |       |       |       |
46 Hestia (A857 QA)       |  12.9 |  21.0 |       |       |       |       |       |       |       |       |       |       |  24.6 |  35.3 |  43.8 |
1021 Flammario (A924 EW)  |  12.9 |  12.2 |       |       |       |       |       |       |       |  31.1 |  44.1 |  56.9 |  68.9 |  76.9 |  73.6 |
800 Kressmannia (A915 FG) |  12.9 |   4.5 |       |  26.1 |  38.5 |  51.1 |  63.9 |  76.9 |  89.5 |  77.0 |  64.1 |  51.2 |  38.6 |  26.2 |       |
129 Antigone (A873 CA)    |  12.9 |   5.0 |       |       |       |       |       |       |       |       |       |       |       |  26.3 |  37.7 |
478 Tergeste (A901 SC)    |  13.0 |  16.1 |       |       |       |       |       |  23.1 |  35.1 |  45.8 |  54.0 |  57.6 |  55.2 |  47.7 |  37.3 |
211 Isolda (A879 XA)      |  13.0 |  18.4 |       |       |  26.7 |  39.6 |  52.6 |  65.4 |  77.0 |  80.1 |  70.2 |  57.6 |  44.7 |  31.7 |       |
79 Eurynome (A863 RA)     |  13.0 |   6.0 |  53.1 |  63.8 |  70.1 |  67.7 |  58.5 |  46.7 |  34.1 |  21.1 |       |       |       |       |       |
108 Hecuba (A869 GB)      |  13.0 |  14.3 |  31.3 |  44.0 |  56.9 |  69.9 |  82.6 |  83.1 |  70.3 |  57.3 |  44.4 |  31.8 |       |       |       |
674 Rachele (A908 UK)     |  13.0 |  31.0 |  37.8 |  50.6 |  63.6 |  76.4 |  85.2 |  75.3 |  62.5 |  49.5 |  36.6 |  24.0 |       |       |       |
375 Ursula (A893 SB)      |  13.0 |  16.9 |       |       |       |       |       |       |       |       |       |       |       |  22.9 |  30.8 |
121 Hermione (A872 JA)    |  13.0 |   5.6 |  29.6 |  42.4 |  55.4 |  68.3 |  79.9 |  80.5 |  69.0 |  56.2 |  43.2 |  30.3 |       |       |       |
82 Alkmene (A864 WA)      |  13.1 |  13.0 |  43.6 |  35.4 |  25.1 |       |       |       |       |       |       |       |       |       |       |
259 Aletheia (A886 MA)    |  13.1 |   8.1 |       |       |       |       |       |       |       |       |  30.6 |  43.5 |  56.0 |  67.0 |  73.1 |
65 Cybele (A861 EB)       |  13.1 |   6.1 |  57.7 |  55.4 |  48.1 |  37.7 |  25.9 |       |       |       |       |       |       |       |       |
485 Genua (A902 JC)       |  13.1 |  17.6 |       |       |       |  25.5 |  37.9 |  49.2 |  58.2 |  62.4 |  59.7 |  51.5 |  40.5 |  28.3 |       |
660 Crescentia (A908 AN)  |  13.1 |   7.9 |  27.5 |  39.2 |  49.2 |  56.0 |  57.4 |  52.9 |  44.2 |  33.1 |  21.0 |       |       |       |       |
154 Bertha (A875 VD)      |  13.1 |  25.2 |  61.6 |  72.7 |  77.4 |  70.1 |  58.3 |  45.6 |  32.6 |       |       |       |       |       |       |
225 Henrietta (A882 HA)   |  13.1 |   7.4 |       |       |       |       |       |       |       |  21.3 |  31.3 |  39.0 |  43.4 |  43.5 |  39.3 |
776 Berbericia (A914 BE)  |  13.1 |   7.7 |  41.1 |  53.5 |  64.6 |  71.3 |  69.0 |  59.7 |  47.8 |  35.1 |  22.1 |       |       |       |       |
117 Lomia (A871 RB)       |  13.1 |   9.1 |       |       |       |       |       |       |       |  27.3 |  40.3 |  52.7 |  63.9 |  71.0 |  69.2 |
88 Thisbe (A866 LA)       |  13.2 |   6.0 |  60.0 |  53.8 |  43.8 |  32.1 |       |       |       |       |       |       |       |       |       |
695 Bella (A909 VD)       |  13.2 |  14.2 |       |       |       |       |       |       |       |       |       |  23.8 |  32.6 |  38.7 |  41.2 |
107 Camilla (A868 WA)     |  13.2 |   4.8 |  21.7 |       |       |       |       |       |       |       |       |       |       |       |       |
313 Chaldaea (A891 QB)    |  13.2 |   8.4 |       |       |       |       |  24.8 |  37.4 |  49.1 |  58.8 |  64.0 |  62.1 |  54.1 |  43.1 |  30.9 |
19 Fortuna (A852 QA)      |  13.2 |   7.4 |  59.5 |  56.1 |  47.9 |  37.1 |  25.0 |       |       |       |       |       |       |       |       |
269 Justitia (A887 SA)    |  13.2 |  33.1 |  39.3 |  51.7 |  62.5 |  69.2 |  67.7 |  59.1 |  47.5 |  34.9 |  22.0 |       |       |       |       |
221 Eos (A882 BA)         |  13.2 |  10.4 |       |       |       |       |       |       |       |       |       |       |       |  28.4 |  39.4 |
124 Alkeste (A872 QA)     |  13.2 |   9.9 |       |       |       |       |       |       |       |       |       |       |  24.9 |  35.5 |  44.0 |
1048 Feodosia (A924 WQ)   |  13.2 |  10.5 |  36.7 |  48.7 |  61.0 |  73.1 |  83.8 |  79.5 |  67.6 |  55.4 |  43.2 |  31.3 |       |       |       |
462 Eriphyla (A900 UJ)    |  13.2 |   8.7 |       |       |       |       |       |  31.8 |  44.8 |  57.6 |  69.6 |  77.7 |  73.8 |  62.7 |  50.1 |
127 Johanna (A872 VB)     |  13.2 |  12.8 |  34.8 |  47.3 |  60.1 |  73.0 |  86.0 |  81.1 |  68.1 |  55.2 |  42.6 |  30.1 |       |       |       |
66 Maja (A861 GA)         |  13.3 |   9.7 |       |       |       |  23.6 |  36.2 |  49.1 |  62.1 |  74.9 |  84.9 |  76.6 |  63.8 |  50.8 |  37.9 |
175 Andromache (A877 TA)  |  13.3 |   8.3 |  30.5 |  43.2 |  56.1 |  69.1 |  81.6 |  82.5 |  70.2 |  57.2 |  44.2 |  31.5 |       |       |       |
850 Altona (A916 FG)      |  13.3 |  11.2 |       |       |  21.4 |  34.4 |  47.3 |  59.9 |  71.2 |  76.5 |  70.3 |  58.9 |  46.2 |  33.2 |  20.3 |
490 Veritas (A902 RE)     |  13.3 |   7.9 |       |       |       |       |       |  26.3 |  38.9 |  50.7 |  60.5 |  65.5 |  62.9 |  54.5 |  43.2 |
386 Siegena (A894 EB)     |  13.3 |   9.8 |  20.1 |       |       |       |       |       |       |       |       |       |       |       |       |
38 Leda (A856 AA)         |  13.3 |  12.8 |       |       |       |       |       |  22.7 |  35.7 |  48.3 |  60.0 |  68.7 |  70.1 |  63.0 |  52.0 |
17 Thetis (A852 HA)       |  13.3 |  12.3 |  26.9 |       |       |       |       |       |       |       |       |       |       |       |       |
165 Loreley (A876 PA)     |  13.3 |   7.2 |       |       |       |       |       |       |       |       |       |  22.3 |  32.4 |  40.4 |  45.0 |
1058 Grubba (1925 MA)     |  13.3 |  46.3 |       |       |       |       |  22.1 |  35.1 |  47.7 |  59.2 |  67.8 |  69.3 |  62.5 |  51.6 |  39.2 |
118 Peitho (A872 EA)      |  13.3 |   7.8 |       |       |       |       |       |       |       |       |  28.0 |  40.8 |  53.0 |  63.5 |  69.3 |
148 Gallia (A875 PA)      |  13.3 |  20.7 |  28.1 |  37.4 |  44.1 |  46.7 |  44.6 |  38.4 |  29.3 |       |       |       |       |       |       |
365 Corduba (A893 FF)     |  13.3 |  12.7 |       |       |       |       |  20.8 |  33.3 |  44.9 |  54.7 |  60.5 |  59.9 |  53.3 |  43.2 |  31.4 |
97 Klotho (A868 DB)       |  13.4 |  35.1 |  28.2 |  40.7 |  52.2 |  61.3 |  65.2 |  61.6 |  52.5 |  41.1 |  28.6 |       |       |       |       |
160 Una (A876 DA)         |  13.4 |  11.0 |       |  26.7 |  39.2 |  51.9 |  64.8 |  77.7 |  88.6 |  76.0 |  63.1 |  50.2 |  37.5 |  25.1 |       |
1304 Arosa (1928 KC)      |  13.4 |   7.7 |       |       |  20.9 |  32.6 |  44.7 |  57.0 |  69.5 |  81.5 |  83.4 |  71.6 |  59.2 |  46.8 |  34.7 |
372 Palma (A893 QB)       |  13.4 |   8.6 |  23.3 |  33.0 |  42.9 |  52.8 |  62.0 |  69.3 |  71.7 |  67.5 |  59.4 |  49.9 |  40.0 |  30.1 |  20.6 |
217 Eudora (A880 QA)      |  13.4 |  25.3 |       |       |       |       |       |       |       |       |  22.1 |  34.1 |  44.8 |  52.9 |  56.6 |
231 Vindobona (A882 RB)   |  13.4 |  14.2 |  23.0 |  35.2 |  47.7 |  60.4 |  73.2 |  86.1 |  80.9 |  68.0 |  55.2 |  42.5 |  30.2 |       |       |
144 Vibilia (A875 LA)     |  13.4 |  13.8 |  51.0 |  62.7 |  71.0 |  71.0 |  62.7 |  51.1 |  38.5 |  25.5 |       |       |       |       |       |
317 Roxane (A891 RD)      |  13.4 |   8.2 |       |       |       |       |       |       |       |       |  24.2 |  36.4 |  47.3 |  55.8 |  59.5 |
468 Lina (A901 BC)        |  13.4 |  16.3 |       |       |       |  30.1 |  43.0 |  56.0 |  68.8 |  80.1 |  79.7 |  68.2 |  55.3 |  42.3 |  29.5 |
1819 Laputa (1948 PC)     |  13.4 |   9.8 |       |       |       |       |  28.9 |  41.9 |  54.7 |  66.9 |  76.1 |  74.8 |  64.6 |  52.2 |  39.3 |
2013 Tucapel (1971 UH4)   |  13.4 |   9.0 |       |       |  22.1 |  34.6 |  47.4 |  60.4 |  73.3 |  85.1 |  79.0 |  66.2 |  53.2 |  40.4 |  27.7 |
80 Sappho (A864 JA)       |  13.4 |  14.0 |  29.8 |       |       |       |       |       |       |       |       |       |       |       |       |
173 Ino (A877 PA)         |  13.5 |   6.2 |  34.4 |  45.7 |  54.9 |  59.8 |  58.4 |  51.3 |  41.0 |  29.2 |       |       |       |       |       |
469 Argentina (A901 DC)   |  13.5 |  17.6 |  34.1 |  45.9 |  58.0 |  70.0 |  80.9 |  81.2 |  70.4 |  58.4 |  46.3 |  34.5 |  23.0 |       |       |
412 Elisabetha (A896 AB)  |  13.5 |  19.6 |  24.5 |  37.5 |  50.3 |  62.4 |  71.9 |  73.5 |  65.5 |  53.8 |  41.1 |  28.2 |       |       |       |
267 Tirza (A887 KB)       |  13.6 |   7.6 |       |       |       |       |  31.5 |  44.2 |  57.1 |  70.1 |  82.7 |  82.2 |  69.6 |  56.6 |  43.7 |
103 Hera (A868 RA)        |  13.6 |  23.7 |  48.8 |  42.5 |  33.2 |  22.1 |       |       |       |       |       |       |       |       |       |
72 Feronia (A861 KA)      |  13.6 |   8.1 |       |       |       |       |       |       |       |       |       |       |       |  21.6 |  31.4 |
78 Diana (A863 EA)        |  13.6 |   7.3 |       |       |       |       |       |       |       |  30.7 |  43.3 |  55.1 |  64.4 |  68.1 |  63.5 |
498 Tokio (A902 XA)       |  13.6 |  41.9 |  46.1 |  57.5 |  66.0 |  67.9 |  61.8 |  51.3 |  39.2 |  26.4 |       |       |       |       |       |
949 Hel (A921 EM)         |  13.6 |  16.4 |       |       |       |  24.8 |  37.3 |  50.0 |  63.0 |  76.0 |  87.5 |  77.3 |  64.3 |  51.4 |  38.6 |
183 Istria (A878 CD)      |  13.6 |  11.8 |       |       |       |       |       |       |       |       |       |       |       |  28.7 |  41.0 |
205 Martha (A879 TB)      |  13.6 |  14.9 |       |       |  30.2 |  42.9 |  54.7 |  64.3 |  68.4 |  64.1 |  54.4 |  42.5 |  29.9 |       |       |
120 Lachesis (A872 GB)    |  13.6 |  46.6 |  63.4 |  59.6 |  50.8 |  39.5 |  27.1 |       |       |       |       |       |       |       |       |
558 Carmen (A905 CK)      |  13.6 |  11.4 |       |       |       |       |       |  23.5 |  36.5 |  49.1 |  60.9 |  69.7 |  71.0 |  63.5 |  52.2 |
479 Caprera (A901 VK)     |  13.6 |   9.5 |       |       |       |       |  26.0 |  39.0 |  51.8 |  63.9 |  73.3 |  73.9 |  65.1 |  53.2 |  40.4 |
55 Pandora (A858 RB)      |  13.7 |   4.8 |  64.7 |  69.9 |  66.4 |  56.8 |  44.9 |  32.2 |       |       |       |       |       |       |       |
385 Ilmatar (A894 EA)     |  13.7 |  62.4 |       |       |       |       |       |       |       |       |       |       |  27.1 |  36.8 |  44.0 |
159 Aemilia (A876 BA)     |  13.7 |  24.5 |  24.6 |  37.6 |  50.5 |  62.8 |  72.8 |  74.8 |  66.6 |  54.8 |  42.1 |  29.1 |       |       |       |
338 Budrosa (A892 SF)     |  13.7 |   4.6 |       |       |       |       |       |       |       |       |  25.1 |  36.5 |  46.3 |  52.9 |  54.6 |
204 Kallisto (A879 TA)    |  13.7 |  19.5 |  59.9 |  63.3 |  59.6 |  50.8 |  39.6 |  27.2 |       |       |       |       |       |       |       |
156 Xanthippe (A875 WA)   |  13.7 |  22.1 |  56.5 |  48.2 |  37.3 |  25.2 |       |       |       |       |       |       |       |       |       |
1245 Calvinia (1932 KF)   |  13.7 |   4.9 |       |       |       |       |  31.4 |  44.4 |  57.2 |  69.1 |  77.0 |  73.3 |  62.3 |  49.8 |  36.8 |
694 Ekard (A909 VC)       |  13.7 |   5.9 |  44.6 |  56.6 |  66.3 |  70.1 |  65.0 |  54.8 |  42.7 |  29.9 |       |       |       |       |       |
374 Burgundia (A893 SA)   |  13.7 |   7.0 |  57.0 |  65.8 |  68.1 |  62.3 |  52.0 |  39.9 |  27.1 |       |       |       |       |       |       |
360 Carlova (A893 EE)     |  13.7 |   6.2 |       |       |       |       |       |       |       |       |       |       |  27.3 |  39.1 |  49.5 |
