Tabela de observabilidade - Cinturão Principal - Zeiss


Iluninação da lua: 3.2 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                    |  mag  |  rot  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
51 Nemausa (A858 BA)      |  11.2 |   7.8 |       |       |  31.9 |  44.4 |  55.8 |  64.4 |  66.8 |  61.4 |  51.3 |  39.4 |  26.7 |       |       |
287 Nephthys (A889 QA)    |  11.3 |   7.6 |       |       |       |       |       |  31.1 |  43.9 |  56.1 |  66.5 |  71.5 |  67.1 |  56.9 |  44.7 |
15 Eunomia (A851 OA)      |  11.3 |   6.1 |  71.9 |  68.5 |  58.6 |  46.5 |  33.7 |  20.7 |       |       |       |       |       |       |       |
451 Patientia (A899 XA)   |  11.3 |   9.7 |       |       |  22.1 |  34.3 |  46.9 |  59.7 |  72.6 |  85.6 |  81.3 |  68.4 |  55.5 |  42.7 |  30.3 |
128 Nemesis (A872 WA)     |  11.4 |  38.9 |       |       |  23.1 |  35.5 |  48.3 |  61.2 |  74.2 |  86.5 |  79.1 |  66.1 |  53.2 |  40.3 |  27.8 |
7 Iris (A847 PA)          |  11.4 |   7.1 |  59.2 |  52.8 |  42.9 |  31.2 |       |       |       |       |       |       |       |       |       |
44 Nysa (A857 KA)         |  11.4 |   6.4 |  48.3 |  41.7 |  32.2 |  21.0 |       |       |       |       |       |       |       |       |       |
20 Massalia (A852 SA)     |  11.5 |   8.1 |  61.5 |  62.7 |  57.1 |  47.4 |  35.7 |  23.1 |       |       |       |       |       |       |       |
216 Kleopatra (A880 GB)   |  11.5 |   5.4 |       |       |  30.9 |  43.4 |  54.9 |  63.7 |  66.6 |  61.7 |  51.9 |  40.0 |  27.3 |       |       |
37 Fides (A855 TB)        |  11.5 |   7.3 |       |       |  27.2 |  39.7 |  52.5 |  65.5 |  78.5 |  86.8 |  74.7 |  61.7 |  48.8 |  36.0 |  23.6 |
164 Eva (A876 NA)         |  11.6 |  13.7 |       |       |       |       |       |       |       |  28.6 |  39.6 |  50.8 |  61.9 |  72.2 |  78.6 |
198 Ampella (A879 LA)     |  11.7 |  10.4 |       |       |       |       |       |       |       |       |  28.2 |  38.6 |  46.6 |  50.8 |  49.9 |
40 Harmonia (A856 FA)     |  11.7 |   8.9 |  34.4 |  25.3 |       |       |       |       |       |       |       |       |       |       |       |
849 Ara (A915 UB)         |  11.8 |   4.1 |       |       |       |  22.2 |  33.9 |  44.1 |  51.6 |  54.5 |  51.8 |  44.5 |  34.3 |  22.7 |       |
532 Herculina (A904 HE)   |  11.8 |   9.4 |       |       |       |       |       |       |       |       |       |       |  25.2 |  37.8 |  49.5 |
100 Hekate (A868 NA)      |  11.8 |  27.1 |       |       |       |       |       |       |  23.5 |  36.5 |  49.1 |  60.8 |  69.5 |  70.6 |  63.2 |
57 Mnemosyne (A859 SA)    |  11.9 |  25.3 |       |       |       |  27.3 |  39.4 |  50.2 |  58.3 |  61.0 |  57.2 |  48.5 |  37.3 |  25.0 |       |
13 Egeria (A850 VA)       |  12.0 |   7.0 |  59.9 |  69.2 |  71.3 |  64.5 |  53.4 |  41.0 |  28.1 |       |       |       |       |       |       |
39 Laetitia (A856 CA)     |  12.0 |   5.1 |  39.5 |  30.5 |       |       |       |       |       |       |       |       |       |       |       |
5 Astraea (A845 XA)       |  12.0 |  16.8 |       |       |       |       |       |       |       |  28.4 |  41.1 |  52.9 |  62.6 |  67.2 |  63.8 |
389 Industria (A894 EE)   |  12.1 |   8.5 |       |       |       |       |       |       |  32.1 |  44.5 |  55.9 |  64.4 |  66.7 |  61.2 |  51.1 |
70 Panopaea (A861 JA)     |  12.1 |  15.8 |  48.4 |  61.3 |  74.1 |  83.8 |  76.6 |  64.0 |  51.0 |  38.1 |  25.4 |       |       |       |       |
125 Liberatrix (A872 RA)  |  12.2 |   4.0 |       |       |       |       |  28.9 |  41.9 |  54.5 |  65.9 |  73.2 |  70.9 |  61.1 |  49.0 |  36.2 |
11 Parthenope (A850 JA)   |  12.2 |  13.7 |  51.7 |  46.9 |  38.4 |  27.7 |       |       |       |       |       |       |       |       |       |
92 Undina (A867 NA)       |  12.2 |  15.9 |  39.1 |  51.5 |  62.6 |  69.7 |  68.5 |  60.0 |  48.4 |  35.8 |  22.9 |       |       |       |       |
28 Bellona (A854 EA)      |  12.2 |  15.7 |  26.2 |  39.0 |  51.3 |  62.1 |  68.7 |  67.2 |  58.7 |  47.2 |  34.7 |  21.8 |       |       |       |
804 Hispania (A915 FK)    |  12.2 |  14.8 |  36.9 |  47.7 |  58.4 |  68.5 |  75.6 |  74.7 |  66.7 |  56.4 |  45.6 |  34.8 |  24.3 |       |       |
182 Elsa (A878 CC)        |  12.3 |  80.1 |       |       |       |  25.3 |  38.1 |  51.1 |  64.0 |  76.0 |  81.1 |  72.0 |  59.4 |  46.5 |  33.5 |
480 Hansa (A901 KB)       |  12.3 |  16.2 |       |       |       |  24.8 |  36.6 |  46.9 |  54.4 |  56.9 |  53.4 |  45.4 |  34.8 |  22.8 |       |
135 Hertha (A874 DA)      |  12.4 |   8.4 |  52.2 |  64.7 |  75.0 |  76.6 |  67.4 |  55.2 |  42.3 |  29.4 |       |       |       |       |       |
26 Proserpina (A853 JA)   |  12.4 |  13.1 |  60.8 |  66.3 |  64.2 |  55.8 |  44.6 |  32.2 |       |       |       |       |       |       |       |
199 Byblis (A879 NA)      |  12.4 |   5.2 |       |  30.0 |  42.7 |  55.7 |  68.6 |  81.1 |  82.7 |  70.5 |  57.5 |  44.6 |  31.8 |       |       |
258 Tyche (A886 JA)       |  12.4 |  10.0 |       |  32.2 |  44.3 |  55.1 |  62.5 |  63.7 |  57.9 |  47.9 |  36.1 |  23.5 |       |       |       |
345 Tercidina (A892 WB)   |  12.4 |  12.4 |       |       |       |       |  25.3 |  37.8 |  49.4 |  58.7 |  63.3 |  60.8 |  52.7 |  41.7 |  29.5 |
41 Daphne (A856 KA)       |  12.4 |   6.0 |  50.6 |  44.7 |  35.6 |  24.6 |       |       |       |       |       |       |       |       |       |
346 Hermentaria (A892 WC) |  12.4 |  28.5 |  37.9 |  50.7 |  62.8 |  72.3 |  73.6 |  65.4 |  53.6 |  40.9 |  28.0 |       |       |       |       |
139 Juewa (A874 TA)       |  12.4 |  21.0 |       |       |       |  23.5 |  35.2 |  47.3 |  59.6 |  71.9 |  83.2 |  80.9 |  69.0 |  56.7 |  44.5 |
60 Echo (A860 RB)         |  12.4 |  25.2 |       |       |       |  28.2 |  41.2 |  54.0 |  66.1 |  75.1 |  74.3 |  64.5 |  52.2 |  39.3 |  26.3 |
71 Niobe (A861 PA)        |  12.4 |  35.9 |       |       |       |       |       |       |       |       |       |  21.9 |  31.1 |  37.9 |  41.2 |
387 Aquitania (A894 EC)   |  12.4 |  24.1 |  43.6 |  47.0 |  45.6 |  40.0 |  31.2 |  20.5 |       |       |       |       |       |       |       |
397 Vienna (A894 YA)      |  12.4 |  15.5 |       |       |       |       |       |  23.4 |  35.0 |  45.1 |  52.2 |  54.6 |  51.3 |  43.6 |  33.3 |
23 Thalia (A852 XA)       |  12.5 |  12.3 |       |       |       |       |       |       |       |       |  30.5 |  43.5 |  55.9 |  66.9 |  73.1 |
264 Libussa (A886 YA)     |  12.5 |   9.2 |       |       |       |       |       |       |  28.0 |  40.7 |  53.7 |  66.6 |  79.3 |  84.0 |  72.4 |
236 Honoria (A884 HA)     |  12.5 |  12.3 |       |       |       |       |       |       |       |       |  27.4 |  38.8 |  48.4 |  54.7 |  55.7 |
24 Themis (A853 GA)       |  12.5 |   8.4 |  33.2 |  46.2 |  59.1 |  71.6 |  80.8 |  76.0 |  64.1 |  51.3 |  38.3 |  25.4 |       |       |       |
48 Doris (A857 SA)        |  12.5 |  11.9 |  26.1 |  39.1 |  51.8 |  63.4 |  71.7 |  71.4 |  62.7 |  50.9 |  38.2 |  25.3 |       |       |       |
511 Davida (A903 KB)      |  12.5 |   5.1 |  42.1 |  38.7 |  31.8 |  22.5 |       |       |       |       |       |       |       |       |       |
704 Interamnia (A910 TC)  |  12.5 |   8.7 |  64.3 |  77.2 |  86.5 |  75.5 |  62.6 |  49.6 |  36.8 |  24.3 |       |       |       |       |       |
119 Althaea (A872 GA)     |  12.6 |  11.5 |  24.9 |  37.9 |  50.7 |  62.7 |  72.1 |  73.3 |  65.1 |  53.4 |  40.7 |  27.7 |       |       |       |
407 Arachne (A895 TB)     |  12.6 |  22.6 |       |       |  23.4 |  36.1 |  49.0 |  62.0 |  74.7 |  84.2 |  76.2 |  63.5 |  50.5 |  37.6 |  24.9 |
785 Zwetana (A914 FD)     |  12.6 |   8.9 |       |  20.7 |  32.3 |  44.4 |  56.6 |  68.9 |  80.8 |  83.4 |  72.0 |  59.7 |  47.4 |  35.3 |  23.6 |
93 Minerva (A867 QA)      |  12.6 |   6.0 |  63.6 |  74.2 |  76.9 |  68.3 |  56.3 |  43.5 |  30.5 |       |       |       |       |       |       |
476 Hedwig (A901 QB)      |  12.6 |  27.3 |       |       |       |       |       |       |  21.9 |  34.4 |  45.9 |  55.3 |  60.6 |  59.5 |  52.5 |
101 Helena (A868 PA)      |  12.6 |  23.1 |       |       |       |       |       |       |       |       |       |       |  23.4 |  33.8 |  42.0 |
116 Sirona (A871 RA)      |  12.7 |  12.0 |  51.0 |  62.9 |  72.1 |  73.0 |  64.7 |  53.0 |  40.3 |  27.3 |       |       |       |       |       |
113 Amalthea (A871 EA)    |  12.7 |   9.9 |       |       |       |       |       |       |       |       |  27.9 |  40.3 |  51.7 |  60.6 |  64.3 |
31 Euphrosyne (A854 RA)   |  12.7 |   5.5 |  22.8 |  31.1 |  39.6 |  48.1 |  55.8 |  61.9 |  64.8 |  63.4 |  58.3 |  51.0 |  42.7 |  34.2 |  25.8 |
690 Wratislavia (A909 UE) |  12.8 |   8.6 |       |       |       |       |       |       |       |       |  28.7 |  38.6 |  46.0 |  49.4 |  47.9 |
488 Kreusa (A902 MC)      |  12.8 |  32.6 |       |       |  27.9 |  40.4 |  53.1 |  66.0 |  79.0 |  87.4 |  74.6 |  61.7 |  48.8 |  36.1 |  23.8 |
106 Dione (A868 TA)       |  12.8 |  16.2 |       |       |       |       |       |       |       |       |  23.7 |  36.4 |  48.2 |  58.2 |  63.9 |
769 Tatjana (A913 TD)     |  12.8 |  35.1 |       |       |       |       |  24.6 |  36.9 |  49.6 |  62.4 |  75.4 |  88.3 |  78.4 |  65.5 |  52.6 |
32 Pomona (A854 UA)       |  12.9 |   9.4 |  21.7 |       |       |       |       |       |       |       |       |       |       |       |       |
388 Charybdis (A894 ED)   |  12.9 |   9.5 |       |       |       |       |  22.3 |  34.9 |  47.8 |  60.8 |  73.7 |  84.1 |  77.5 |  64.8 |  51.8 |
456 Abnoba (A900 LA)      |  12.9 |  18.3 |       |       |       |       |       |  24.4 |  35.8 |  45.7 |  52.4 |  54.3 |  50.6 |  42.6 |  32.1 |
69 Hesperia (A861 HC)     |  12.9 |   5.7 |  55.2 |  62.0 |  62.4 |  56.1 |  46.0 |  34.2 |  21.6 |       |       |       |       |       |       |
174 Phaedra (A877 RA)     |  12.9 |   5.7 |  59.7 |  72.6 |  85.6 |  81.2 |  68.2 |  55.3 |  42.6 |  30.1 |       |       |       |       |       |
64 Angelina (A861 EA)     |  12.9 |   8.8 |       |       |       |       |       |       |       |       |       |       |       |       |  26.7 |
416 Vaticana (A896 JA)    |  12.9 |   5.4 |  48.3 |  44.7 |  37.3 |  27.4 |       |       |       |       |       |       |       |       |       |
46 Hestia (A857 QA)       |  12.9 |  21.0 |       |       |       |       |       |       |       |       |       |       |  24.2 |  34.9 |  43.6 |
1021 Flammario (A924 EW)  |  12.9 |  12.2 |       |       |       |       |       |       |       |  30.3 |  43.3 |  56.1 |  68.1 |  76.6 |  74.0 |
800 Kressmannia (A915 FG) |  12.9 |   4.5 |       |  25.2 |  37.5 |  50.1 |  63.0 |  75.9 |  88.9 |  78.0 |  65.1 |  52.2 |  39.5 |  27.2 |       |
129 Antigone (A873 CA)    |  12.9 |   5.0 |       |       |       |       |       |       |       |       |       |       |       |  25.7 |  37.2 |
478 Tergeste (A901 SC)    |  13.0 |  16.1 |       |       |       |       |       |  22.1 |  34.2 |  45.1 |  53.5 |  57.6 |  55.6 |  48.4 |  38.2 |
211 Isolda (A879 XA)      |  13.0 |  18.4 |       |       |  25.7 |  38.6 |  51.6 |  64.4 |  76.2 |  80.5 |  71.1 |  58.6 |  45.7 |  32.7 |       |
79 Eurynome (A863 RA)     |  13.0 |   6.0 |  52.4 |  63.3 |  69.9 |  68.0 |  59.1 |  47.4 |  34.8 |  21.9 |       |       |       |       |       |
108 Hecuba (A869 GB)      |  13.0 |  14.3 |  30.5 |  43.1 |  56.0 |  69.0 |  81.8 |  83.9 |  71.2 |  58.2 |  45.3 |  32.6 |  20.3 |       |       |
674 Rachele (A908 UK)     |  13.0 |  31.0 |  36.9 |  49.7 |  62.7 |  75.6 |  85.2 |  76.2 |  63.4 |  50.4 |  37.5 |  24.9 |       |       |       |
375 Ursula (A893 SB)      |  13.0 |  16.9 |       |       |       |       |       |       |       |       |       |       |       |  22.5 |  30.6 |
121 Hermione (A872 JA)    |  13.0 |   5.6 |  28.6 |  41.5 |  54.5 |  67.4 |  79.2 |  81.0 |  69.9 |  57.1 |  44.1 |  31.2 |       |       |       |
82 Alkmene (A864 WA)      |  13.1 |  13.0 |  43.6 |  35.6 |  25.3 |       |       |       |       |       |       |       |       |       |       |
259 Aletheia (A886 MA)    |  13.1 |   8.1 |       |       |       |       |       |       |       |       |  29.8 |  42.7 |  55.2 |  66.4 |  72.9 |
65 Cybele (A861 EB)       |  13.1 |   6.1 |  57.6 |  55.6 |  48.4 |  38.2 |  26.5 |       |       |       |       |       |       |       |       |
485 Genua (A902 JC)       |  13.1 |  17.6 |       |       |       |  24.5 |  36.9 |  48.4 |  57.6 |  62.3 |  60.1 |  52.2 |  41.4 |  29.3 |       |
660 Crescentia (A908 AN)  |  13.1 |   7.9 |  26.7 |  38.4 |  48.5 |  55.5 |  57.4 |  53.2 |  44.7 |  33.8 |  21.7 |       |       |       |       |
154 Bertha (A875 VD)      |  13.1 |  25.2 |  60.8 |  72.1 |  77.4 |  70.7 |  59.0 |  46.3 |  33.3 |  20.4 |       |       |       |       |       |
225 Henrietta (A882 HA)   |  13.1 |   7.4 |       |       |       |       |       |       |       |  20.6 |  30.7 |  38.6 |  43.3 |  43.7 |  39.8 |
776 Berbericia (A914 BE)  |  13.1 |   7.7 |  40.2 |  52.7 |  63.9 |  71.1 |  69.4 |  60.4 |  48.6 |  35.9 |  22.9 |       |       |       |       |
117 Lomia (A871 RB)       |  13.1 |   9.1 |       |       |       |       |       |       |       |  26.5 |  39.4 |  51.9 |  63.2 |  70.7 |  69.7 |
88 Thisbe (A866 LA)       |  13.2 |   6.0 |  60.1 |  54.1 |  44.3 |  32.6 |  20.1 |       |       |       |       |       |       |       |       |
695 Bella (A909 VD)       |  13.2 |  14.2 |       |       |       |       |       |       |       |       |       |  23.4 |  32.3 |  38.7 |  41.4 |
107 Camilla (A868 WA)     |  13.2 |   4.8 |  22.1 |       |       |       |       |       |       |       |       |       |       |       |       |
313 Chaldaea (A891 QB)    |  13.2 |   8.4 |       |       |       |       |  23.8 |  36.4 |  48.2 |  58.1 |  63.8 |  62.4 |  54.8 |  44.1 |  31.9 |
19 Fortuna (A852 QA)      |  13.2 |   7.4 |  59.4 |  56.3 |  48.3 |  37.5 |  25.5 |       |       |       |       |       |       |       |       |
269 Justitia (A887 SA)    |  13.2 |  33.1 |  38.6 |  51.0 |  61.9 |  69.0 |  67.9 |  59.6 |  48.1 |  35.6 |  22.7 |       |       |       |       |
221 Eos (A882 BA)         |  13.2 |  10.4 |       |       |       |       |       |       |       |       |       |       |       |  27.8 |  38.9 |
124 Alkeste (A872 QA)     |  13.2 |   9.9 |       |       |       |       |       |       |       |       |       |       |  24.3 |  35.0 |  43.7 |
1048 Feodosia (A924 WQ)   |  13.2 |  10.5 |  35.9 |  47.9 |  60.1 |  72.3 |  83.3 |  80.2 |  68.4 |  56.2 |  44.0 |  32.1 |  20.6 |       |       |
462 Eriphyla (A900 UJ)    |  13.2 |   8.7 |       |       |       |       |       |  30.8 |  43.7 |  56.6 |  68.7 |  77.4 |  74.5 |  63.6 |  51.0 |
127 Johanna (A872 VB)     |  13.2 |  12.8 |  33.9 |  46.5 |  59.2 |  72.1 |  85.1 |  82.0 |  69.0 |  56.1 |  43.4 |  31.0 |       |       |       |
66 Maja (A861 GA)         |  13.3 |   9.7 |       |       |       |  22.5 |  35.2 |  48.0 |  61.0 |  73.9 |  84.5 |  77.6 |  64.9 |  51.9 |  38.9 |
175 Andromache (A877 TA)  |  13.3 |   8.3 |  29.6 |  42.3 |  55.2 |  68.2 |  80.8 |  83.2 |  71.1 |  58.1 |  45.2 |  32.4 |       |       |       |
850 Altona (A916 FG)      |  13.3 |  11.2 |       |       |  20.3 |  33.3 |  46.3 |  58.9 |  70.3 |  76.3 |  71.0 |  59.8 |  47.1 |  34.2 |  21.2 |
490 Veritas (A902 RE)     |  13.3 |   7.9 |       |       |       |       |       |  25.3 |  38.0 |  49.9 |  59.8 |  65.3 |  63.3 |  55.2 |  44.1 |
386 Siegena (A894 EB)     |  13.3 |   9.8 |  20.6 |       |       |       |       |       |       |       |       |       |       |       |       |
38 Leda (A856 AA)         |  13.3 |  12.8 |       |       |       |       |       |  21.8 |  34.7 |  47.4 |  59.1 |  68.2 |  70.4 |  63.8 |  52.9 |
17 Thetis (A852 HA)       |  13.3 |  12.3 |  27.2 |       |       |       |       |       |       |       |       |       |       |       |       |
165 Loreley (A876 PA)     |  13.3 |   7.2 |       |       |       |       |       |       |       |       |       |  21.7 |  32.0 |  40.1 |  44.9 |
1058 Grubba (1925 MA)     |  13.3 |  46.3 |       |       |       |       |  21.1 |  34.1 |  46.7 |  58.4 |  67.3 |  69.5 |  63.2 |  52.5 |  40.2 |
118 Peitho (A872 EA)      |  13.3 |   7.8 |       |       |       |       |       |       |       |       |  27.3 |  40.1 |  52.3 |  62.9 |  69.1 |
148 Gallia (A875 PA)      |  13.3 |  20.7 |  27.3 |  36.8 |  43.6 |  46.5 |  44.7 |  38.8 |  29.8 |       |       |       |       |       |       |
365 Corduba (A893 FF)     |  13.3 |  12.7 |       |       |       |       |       |  32.3 |  44.0 |  54.0 |  60.2 |  60.2 |  54.0 |  44.1 |  32.3 |
97 Klotho (A868 DB)       |  13.4 |  35.1 |  27.3 |  39.8 |  51.4 |  60.8 |  65.1 |  62.0 |  53.2 |  41.9 |  29.5 |       |       |       |       |
160 Una (A876 DA)         |  13.4 |  11.0 |       |  25.8 |  38.2 |  50.9 |  63.7 |  76.7 |  88.9 |  77.1 |  64.1 |  51.2 |  38.5 |  26.1 |       |
1304 Arosa (1928 KC)      |  13.4 |   7.7 |       |       |       |  31.6 |  43.7 |  56.0 |  68.5 |  80.7 |  84.3 |  72.6 |  60.2 |  47.8 |  35.6 |
372 Palma (A893 QB)       |  13.4 |   8.6 |  22.6 |  32.2 |  42.1 |  52.0 |  61.3 |  68.7 |  71.6 |  68.0 |  60.1 |  50.7 |  40.8 |  30.9 |  21.4 |
217 Eudora (A880 QA)      |  13.4 |  25.3 |       |       |       |       |       |       |       |       |  21.5 |  33.5 |  44.3 |  52.6 |  56.6 |
231 Vindobona (A882 RB)   |  13.4 |  14.2 |  22.2 |  34.3 |  46.7 |  59.4 |  72.3 |  85.2 |  81.8 |  68.9 |  56.1 |  43.5 |  31.1 |       |       |
144 Vibilia (A875 LA)     |  13.4 |  13.8 |  50.3 |  62.0 |  70.6 |  71.3 |  63.3 |  51.8 |  39.2 |  26.3 |       |       |       |       |       |
317 Roxane (A891 RD)      |  13.4 |   8.2 |       |       |       |       |       |       |       |       |  23.6 |  35.8 |  46.8 |  55.5 |  59.5 |
468 Lina (A901 BC)        |  13.4 |  16.3 |       |       |       |  29.0 |  41.9 |  54.9 |  67.8 |  79.3 |  80.3 |  69.2 |  56.4 |  43.4 |  30.5 |
1819 Laputa (1948 PC)     |  13.4 |   9.8 |       |       |       |       |  27.8 |  40.8 |  53.6 |  65.9 |  75.4 |  75.1 |  65.4 |  53.1 |  40.2 |
2013 Tucapel (1971 UH4)   |  13.4 |   9.0 |       |       |  21.0 |  33.5 |  46.3 |  59.3 |  72.2 |  84.3 |  80.0 |  67.3 |  54.3 |  41.4 |  28.7 |
80 Sappho (A864 JA)       |  13.4 |  14.0 |  30.1 |       |       |       |       |       |       |       |       |       |       |       |       |
173 Ino (A877 PA)         |  13.5 |   6.2 |  33.5 |  44.9 |  54.3 |  59.6 |  58.6 |  51.8 |  41.7 |  29.9 |       |       |       |       |       |
469 Argentina (A901 DC)   |  13.5 |  17.6 |  33.3 |  45.1 |  57.2 |  69.2 |  80.2 |  81.7 |  71.2 |  59.2 |  47.2 |  35.3 |  23.8 |       |       |
412 Elisabetha (A896 AB)  |  13.5 |  19.6 |  23.5 |  36.5 |  49.3 |  61.5 |  71.4 |  73.7 |  66.2 |  54.7 |  42.0 |  29.0 |       |       |       |
267 Tirza (A887 KB)       |  13.6 |   7.6 |       |       |       |       |  30.4 |  43.2 |  56.1 |  69.1 |  81.7 |  83.0 |  70.6 |  57.6 |  44.7 |
103 Hera (A868 RA)        |  13.6 |  23.7 |  48.8 |  42.8 |  33.6 |  22.6 |       |       |       |       |       |       |       |       |       |
72 Feronia (A861 KA)      |  13.6 |   8.1 |       |       |       |       |       |       |       |       |       |       |       |  21.2 |  31.1 |
78 Diana (A863 EA)        |  13.6 |   7.3 |       |       |       |       |       |       |       |  29.8 |  42.5 |  54.3 |  63.9 |  68.1 |  64.0 |
498 Tokio (A902 XA)       |  13.6 |  41.9 |  45.3 |  56.8 |  65.6 |  68.0 |  62.2 |  51.9 |  39.9 |  27.1 |       |       |       |       |       |
949 Hel (A921 EM)         |  13.6 |  16.4 |       |       |       |  23.8 |  36.2 |  49.0 |  61.9 |  74.9 |  87.0 |  78.4 |  65.4 |  52.4 |  39.6 |
183 Istria (A878 CD)      |  13.6 |  11.8 |       |       |       |       |       |       |       |       |       |       |       |  28.3 |  40.6 |
205 Martha (A879 TB)      |  13.6 |  14.9 |       |       |  29.2 |  41.9 |  53.9 |  63.7 |  68.4 |  64.7 |  55.2 |  43.5 |  30.8 |       |       |
120 Lachesis (A872 GB)    |  13.6 |  46.6 |  63.2 |  59.8 |  51.2 |  40.0 |  27.6 |       |       |       |       |       |       |       |       |
558 Carmen (A905 CK)      |  13.6 |  11.4 |       |       |       |       |       |  22.5 |  35.5 |  48.2 |  60.0 |  69.2 |  71.2 |  64.2 |  53.1 |
479 Caprera (A901 VK)     |  13.6 |   9.5 |       |       |       |       |  25.0 |  37.9 |  50.8 |  63.0 |  72.7 |  74.2 |  65.9 |  54.1 |  41.4 |
55 Pandora (A858 RB)      |  13.7 |   4.8 |  64.2 |  69.8 |  66.7 |  57.4 |  45.6 |  32.9 |       |       |       |       |       |       |       |
385 Ilmatar (A894 EA)     |  13.7 |  62.4 |       |       |       |       |       |       |       |       |       |       |  26.5 |  36.4 |  43.8 |
159 Aemilia (A876 BA)     |  13.7 |  24.5 |  23.7 |  36.7 |  49.6 |  61.9 |  72.2 |  75.0 |  67.3 |  55.7 |  43.0 |  30.0 |       |       |       |
338 Budrosa (A892 SF)     |  13.7 |   4.6 |       |       |       |       |       |       |       |       |  24.3 |  35.9 |  45.8 |  52.7 |  54.7 |
204 Kallisto (A879 TA)    |  13.7 |  19.5 |  59.5 |  63.2 |  59.8 |  51.2 |  40.0 |  27.7 |       |       |       |       |       |       |       |
156 Xanthippe (A875 WA)   |  13.7 |  22.1 |  56.6 |  48.4 |  37.6 |  25.6 |       |       |       |       |       |       |       |       |       |
1245 Calvinia (1932 KF)   |  13.7 |   4.9 |       |       |       |       |  30.4 |  43.4 |  56.2 |  68.2 |  76.6 |  73.9 |  63.3 |  50.8 |  37.8 |
694 Ekard (A909 VC)       |  13.7 |   5.9 |  43.9 |  55.9 |  65.9 |  70.1 |  65.5 |  55.5 |  43.4 |  30.7 |       |       |       |       |       |
374 Burgundia (A893 SA)   |  13.7 |   7.0 |  56.4 |  65.4 |  68.2 |  62.7 |  52.5 |  40.5 |  27.8 |       |       |       |       |       |       |
360 Carlova (A893 EE)     |  13.7 |   6.2 |       |       |       |       |       |       |       |       |       |       |  26.7 |  38.6 |  49.1 |
